# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,515rcbc156,515rcbc157,515rcbc159,515rcbc160,515rcbc161,515rcbc168,515rcbc169,515rcbc170,515rcbc174,515rcbc175,515rcbc176,515rcbc177,515rcbc178,515rcbc179,515rcbc180,515rcbc181,515rcbc184,515rcbc185,515rcbc186,515rcbc187,515rcbc188,515rcbc189,515rcbc190,515rcbc191,515rcbc192,515rcbc193,515rcbc194
k__Bacteria;p__Acidobacteria;c__TM1,8.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-05,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],0.003314372,0.002430842,0.004446995,0.011890743,0.007419065,0.002063753,0.002391987,0.000309272,0.00091526,0.000751736,0.003095045,0.003779748,0.004457306,0.002291281,0.00205937,0.002289226,0.005378352,0.001587077,0.001098233,0.001958032,0.006184086,0.001732332,0.000811227,0.002885741,0.003926505,0.001758068,0.003440101
k__Bacteria;p__Acidobacteria;c__iii1-8,0.000389046,0.00022563,0.000778736,0,0.001034173,0.000162382,0,0,8.58E-05,0,0.000185302,0.000309308,0.000232844,0,0.0001758,0.001362847,0.000246934,0.000311747,0,0.000254015,0.002268666,0,0,0,3.00E-05,0,1.10E-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.003030069,0.002865073,0.00254114,0.00160255,0.001989658,0.002431129,0.000520183,0.00019912,0.00213799,0.001879339,0.004832878,0.003117828,0.003326348,0.003572702,0.003365312,0.003732241,0.003472139,0.001927165,0.000764841,0.00237504,0.006289198,0.001789317,0.000658387,0.000658968,0.004016425,0.000609942,0.002348531
k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.299662578,0.267328798,0.202963297,0.184080747,0.196481565,0.150964908,0.156583509,0.27451512,0.283444523,0.258199077,0.169771728,0.157437937,0.282440209,0.128362667,0.228640313,0.223791921,0.159216977,0.098370412,0.034319782,0.301951894,0.178918048,0.273583078,0.232720276,0.068324457,0.193088152,0.131765423,0.111340206
k__Bacteria;p__Actinobacteria;c__Coriobacteriia,0.002596133,0.002980017,0.000922188,0.001452034,0.000281025,0.001189652,0.00193363,8.47E-06,0.001151225,0.001186563,0.00104921,0.001787802,0.000498952,0.002537382,0.000251143,2.67E-05,0.00048634,0,0.000215724,0.000463577,0.000157668,0.00044448,0.000544737,0.000205774,0.0004496,0.000448487,0.000815921
k__Bacteria;p__Actinobacteria;c__MB-A2-108,0.000992566,4.26E-06,0.001885362,8.85E-05,0.000640737,0.000127833,0.00012365,0,0.000164461,0.000287428,0.000345563,0.002282695,6.65E-05,0.003691509,0.002385856,0.001567719,0.000445686,5.67E-05,0.001137456,0.00033022,0.002908097,0.002541513,0.000344869,0.000698163,9.99E-06,0.001847766,0.002392635
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria,4.24E-05,0,0,0,0,0.000459507,0,0,0,0.000125289,3.76E-05,0.000173213,0,0,0,0,6.02E-06,0,0,0,0,0,0,2.45E-05,0,0,0
k__Bacteria;p__Actinobacteria;c__OPB41,1.50E-05,0,0,0,0,4.03E-05,0,0,0,5.16E-05,1.00E-05,0,0,0,0,0,4.97E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.000216968,0.000583232,0.000573806,0,0,0.000193477,0,0,3.58E-05,5.90E-05,0.000205335,0.000204143,0,0.00083165,0.000452057,1.78E-05,0.000523983,0,0,3.60E-05,8.76E-06,0.000136763,0,0.000311111,0,0.000484366,0
